material,avg_m_no_oxygen,avg_r_no_oxygen,avg_r_diff,avg_m_w_oxygen,avg_r_w_oxygen,parent perovskite 1,parent perovskite 2,parent perovskite 3,parent perovskite 4,t_factor,a_site_electronegativity,b_site_electronegativity,electro_diff,T,family,sample_type,measurement_direction,Note,Direction,Substrate,measurement_type,d_star,k_star,ead,eak,First Author,Second Author,Year,DOI,HHI Production average - with oxygen,HHI Production average - without oxygen,HHI Reserve average - with oxygen,HHI Reserve average - without oxygen,Doping Group
La(2)NiO(4+x),57.2,109,,112.2,175,LaNi,,,,0.975807358,1.1,1.91,-0.81,695.89,Ruddlesden-Popper,Ceramic,bulk,porous pellets,,,IEDP/SIMS,1.60E-09,3.50E-09,5.40E-01,0.63,Sayers,De Souza,2010,10.1016/j.ssi.2010.01.016,-3142.857143,-6666.666667,1385.714286,2566.666667,
La(2)NiO(4+x),57.2,109,,112.2,175,LaNi,,,,0.975807358,1.1,1.91,-0.81,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,9.60E-08,2.40E-06,0.9,0.42,Bassat,Odier,2004,10.1016/j.ssi.2003.12.012,-3142.857143,-6666.666667,1385.714286,2566.666667,
La(2)NiO(4+x),57.2,109,,112.2,175,LaNi,,,,0.975807358,1.1,1.91,-0.81,1000,Ruddlesden-Popper,Single Crystal,directional,,longitudinal,,IEDP/SIMS,6.40E-08,2.20E-06,8.80E-01,0.74,Bassat,Odier,2005,10.1016/j.ssi.2003.12.013,-3142.857143,-6666.666667,1385.714286,2566.666667,
La(2)NiO(4+x),57.2,109,,112.2,175,LaNi,,,,0.975807358,1.1,1.91,-0.81,1000,Ruddlesden-Popper,Single Crystal,directional,,transverse,,IEDP/SIMS,4.00E-09,4.90E-07,2.20E-01,0.86,Bassat,Odier,2006,10.1016/j.ssi.2003.12.014,-3142.857143,-6666.666667,1385.714286,2566.666667,
PrBaCo(2)O(5+x),52.9,107.8,,99,167.5,,,,,,,,0,600,Double Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.30E-11,1.30E-09,1.02E+00,0.89,Burriel,Pena-Martinez,2012,10.1021/cm203502s,-2355.555556,-4675,1477.777778,2700,
La(1.85)Sr(0.15)CuO(4+x),56.8,109.4,0.375,111.2,175.3,LaCu,SrCu,,,,1.08875,1.9,-0.81125,1000,Ruddlesden-Popper,Ceramic,directional,,longitudinal,,EBSP,3.60E-12,4.60E-08,7.60E-01,1.6,Claus,Borchardt,1996,10.1016/0921-5107(95)01446-2,-3115,-6601.666667,1383.571429,2561.666667,
La(1.85)Sr(0.15)CuO(4+x),56.8,109.4,0.375,111.2,175.3,LaCu,SrCu,,,,1.08875,1.9,-0.81125,1000,Ruddlesden-Popper,Ceramic,directional,,transverse,,EBSP,4.30E-14,4.60E-08,1.02E+00,1.6,Claus,Borchardt,1996,10.1016/0921-5107(95)01446-2,-3115,-6601.666667,1383.571429,2561.666667,
La(2)CuO(4+x),57.9,109,,113.8,175,LaCu,,,,1.005986967,1.1,1.9,-0.8,1000,Ruddlesden-Popper,Ceramic,directional,,longitudinal,,EBSP,3.70E-08,2.00E-07,8.40E-01,1.3,Claus,Borchardt,1996,10.1016/0921-5107(95)01446-2,-3228.571429,-6866.666667,1385.714286,2566.666667,
La(2)CuO(4+x),57.9,109,,113.8,175,LaCu,,,,1.005986967,1.1,1.9,-0.8,1000,Ruddlesden-Popper,Ceramic,directional,,transverse,,EBSP,6.70E-10,2.00E-07,9.70E-01,1.3,Claus,Borchardt,1996,10.1016/0921-5107(95)01446-2,-3228.571429,-6866.666667,1385.714286,2566.666667,
La(0.8)Sr(0.2)CoO(3-x),47.1,102.2,1,93.8,165.5,LaCo,SrCo,,,0.984863968,1.07,1.88,-0.81,600,Perovskite,Thin Film,bulk,,,STO,IEDP/SIMS,4.80E-15,1.70E-10,8.10E-01,0.74,Kubicek,Cai,2013,10.1021/nn305987x,-2608,-5770,1456,2890,
